,content
8314,They provide me loan 1st time & i paid before time. But for second time i applied they rejected my loan. Thats totally scam & high interest loan. Don't take loan from it.
8315,You guys are doing great. Ensure to improve and increase your disbursement
8316,very good app.... NYC gesture
8317,"Branch is the best app to use, and easily accesable, but you should check on the interest rates, they are high. Hope my request will be considered. Thank you"
8318,"Branch is the best app to apply for a quick loan. I give you guys five stars and I advise everyone to use Branch. Unlike other loan app, no funny and embarrassing text messages to your contacts. Low interest rate. You can repay when you have money even when your loan is over due."
8319,nice and genuine service offered by branch. Disbursement is also fast. but I didn't receive the larger loan amount than before while repaid the loan one day earlier from due date. I am unable to understand. please clarify this. but thanks a lot for the fastest loan disbursal service among all competitors in the online market. Thanking you
8320,Overall good application and interey rate is low than other loan application
8321,Very good on time loan. But didn't got a loan after timely repayment of last two loans. I think they are providing two loans only. Third time they r just rejecting. Expected better from this wonderful app.
8322,Very easy to apply loan.. Faster process..i like that
8323,"Most horrible.. If they give they shud also hav a system in place to collect. I took a small amount less than a $6..i got it. Payinbak first emi was task after 1000 times I paid.2nd i tried all options not happening.i wrote here dey said write on app.cust Serv says pay by others credentials, that is unethical..i can provide all screenshots..I have started receiving msgs from 3rd party action against me.3rd party sends me link to now. When I click on.sends me back to branch app.where all fails"
8324,Best loan app this app low interest rate app
8325,Sent a lots of mail and no response in the application where we can chat with your executive. but not a single reply from your side only pre recorded mail is been sent plz solve my query. Its a very useful application but no response from your side makes us feel horrible.
8326,"excellent app, easy to use. the money takes a few minutes an it's "" pap""in to your account. thankx branch ... you are the best. I paid my loan in time then pplied for another one the following day and the money took less than 5 minutes to get into my account!! I like when you split to be paid in bits!! You are friendly ,you are the best. You really deserve 5 star.. Branch live long!!"
8327,I paid my all dues before due date but you not increase my limit 10k please have a look into it otherwise app is best compare to other as its in interest rate is very nominal and also approval chances are very high recommend for all for instant money for fulfil emergency fund requirement. This app help a lot when i really need money
8328,Nice but havey interest rate
8329,Dont download they rob.. They offer you 1000 but will give 800 and for repayment you have to to pay 1060 that means they are profiting about 260rs on 1000 rs loan. Don't download..
8330,Giving one star is also waste they approved me a lone and said in 12 hours it will be disturbed but it's been days but not yet I git simply wate of trusting and wate of hoping
8331,"The best personal Loan app in Africa now. I have checked twenty others being advertized and majority are fake. If you need personal loans, use BRANCH, dont waste your time on some of those 419 apps in circulation, BRANCH is the best. You get results within a minute."
8332,very good and reliable application for people who needs urgent small loan for urgent needs. Getting higher amount is very very slow after the first loan n determined by their own system for increments. But still a good reliable application..
8333,Easy going loan. Is the money dreams or how. Just 3 minutes of downloading the app. I just applied and in just less than a minute I show the credit in my wallet and was transferred to my bank account in seconds. The first loan i received without BVN
8334,"The initial amount given out as loan is too little, and I've done transfers with them, I've also paid back my loan very early, still the amount is the same. The loan offers are ridiculous"
8335,Its very helpful. A big big thank you 😊 really helpful guys.
8336,I consider branch as one of best finance available.its a an excellence lending and saving app. And the period of payment is very flexible because the amount given for first time for the borrowers is also fair.
8337,I don't need a loan plz cancel my loan amount as soon as possible
8338,This is a good personal loan app.Amount credited fast.
8339,Used to work well but recently they charge a huge transaction fee...just to send your savings to your account..its like a zero deal you earn an interest then they have to take it all back
8340,"I have gotten loans from branch like twice, and after the last time I repaid my loan, I haven't been able to get another one, intact I haven't been able to login, you guys claimed a code was sent to my line, but I didn't get any code. For almost a month now"
8341,"Crashed again yesterday after updating. Tried uninstalling and reinstalling the apps as i did the other time, it still refuse working. Kept on telling me that Branch have stopped working. Please do something urgent to rectify this fault which normally happens after updating."
8342,Paying back sucks as I keep trying to pay back and the requests i put in an OTP sent to me from the bank and I didnt get anything os such..its crazily annoying and there is nobody to assist to see how loan would be paid back... it's extremely annoying.
8343,Today i repayed the emi and closed the loan and applied again but got rejected nd it says that im not eligible nd says should reappear after 6 months...I'm using the app for more than a year and continuously borrowing and repaying... Such a bad experience instead of reapplying after 6 months i would uninstall and get other apps for loan.....very poor
8344,THIS APP WAS very useful for students and self employes. with low intrest and less documentary . I am was very satisfied. I am eligible for this loan on the first day the amount also Dispuresed with In few minutes . anyway thank you. BRANCH APP. I recommend for all. 😃😃😃😃
8345,"very reliable, easier loan application, trusted and very fast. I appreciated your simple and sincere requirements that makes it easier for me to apply and receive the loan. thanks very much"
8346,so cheap app and service
8347,Still loan disbursed 7 to 8 hour comolet but loan amount can not deposit my bank account..it s irritet me...
8348,"Faster loan process without much unnecessary drilling, loan limit increases constantly especially for early payment.This is the best loan app for serious borrowers. It also allows you to pay in bits and reminds you in advance."
8349,Very nice apps very easy approval very good customer support very good
8350,The app is facing lot of problem
8351,"Great app and great service. The repayment plan is very flexible, team are very professional and understanding. If I could give more than 5 stars I would."
8352,processing fee too high
8353,"Kudos to branch loans application, they are the best, very easy to collect loan, with low interest with enough time before repayment. I'm proud of branch microfinance loan. Thank you for helping us for borrowing us huge amounts of money."
8354,"Branch is among one of the best loan app I've ever seen, thanks for solving my problem, it's easy and simple to operate, it's real and amazing, I give you guys kudos, they helped me when I need them most, and they respond quickly, thanks to the management of BRANCH, I really appreciate."
8355,"This loan company is legit the best if I must say. Zero extra charges, they give you extra time if you require and if I must add, they are really patient when dealing with their customers. Great job Branch! Do keep up with the good work."
8356,"Woow Amazing!! I can't believe. After trying different apps to get a loan,,it all turned out that I don't qualify yet I do not have any outstanding loan balance.I tried the Branch and I got it within few minutes just like that,,no questions to answer.I advise and encourage everyone to join the BRANCH.... The best loan App"
8357,"These guys are rippers, who collect 20% interest on one time repayment of loan?, you guys should just take gun and Rob people, very funny, I have been using it for years, and I just discovered I have been paying 20% interest They are not even considerate to customers That's been on their platform for long Other loan apps the more you use it and pay when due the lower your interest I'm officially done with the app."
8358,"The best instant lending app out there, flexible, dynamic and evolutionary. The only other app other than KCB mpesa that is ready for digital economy. Thank you Branch for being true to your words. I appreciate"
8359,"I really liked and cherished this App. They're doing great job. The service meet my needs wonderfully. In fact this App and its service is wonderful like no other ones. But there interest, approach to customers and responds to customers need is superb. Please keep the good work and service good.👊👊👊"
8360,Very easy and frndky app...low interest rate Thank you branch
8361,"My first time to use this app and i can say that it's a very fantastic and useful app. Once you apply for a loan, there're no delays in disbursement of the money. It also has the advantage of a good repayment duration of upto 60 days...i really love this app."
8362,"Branch is exceptional in loan business. I have been with the company for more than two years and have no course to regret. I had difficulty meeting up with one of my instalments and was surprised how I was treated. The team was very concerned giving me clues on how to go about it till I overcame. No threats, no penalties. Branch is indeed a partner in business and I gladly give 5 stars as I urge all to come on board . kudos to the team."
8363,This is a very horrible irritating n wrost app . I am trying to apply since 4 days but no one positive reply n response . They always say start again again n again but they don't give any such type of loan . This is worldest fake app . Friends don't u try pls becas they still our personal datas . If when i will get their services with positive response then sure I'll update . This is really a fake app this not provide any type of loan only they do time waste totally . Now tomorrow i will delete.
8364,I love branch it's my favourite loaning app
8365,good service for branch
8366,Thanks for your good services
8367,"nycly application,,but unfortunatly i am paying my dues timely,,but my limit not increase,,limit decrease ...why...???"
8368,"I've been trying to apply but the app keeps on telling me to try again in 30 days. So far, I've waited for 62 days since I installed the app and it still tells me to wait for 30 more days. Loans are meant for emergencies and my emergency cannot keep on waiting for 30 more days over and over again"
8369,You people was one of best but now if I transfer or withdraw is will show pending for over 10hrs now.. Up till now am still having 2k and 2k pending withdrawal which is 4k.. I message them on the app no reply.. This app is turning to something else ooh please help fixed this fast please.... You people were the best.. So please still be the best please
8370,"I can't log in into my branch app gor days now, my due date is fast approaching, i want to pay now but it has been saying check server or something.... U people should please do something cos its frustrating"
8371,Thank you very much for great time help me as such so beautiful app. Thanks again.
8372,"The best loan app,so much thanks and appreciate more to work with you BRANCH."
8373,good but given small amount
8374,"...if it is not Branch, every other na scam. My experience with U Branch is beyond expectation. Lovely UI, beautiful service, what more could I possibly request for. I recommend Branch to anyone any day, anytime and anywhere. Keep up the good job guys."
8375,Great app! Very fast loan approval time.💞
8376,I am getting continuous massages from branch that I have qualified for loan. But when I install the app my credit score shows 776 but still didn't get any credit limit totally wasting my time. If you can't provide me loan then don't send me massages to apply again and again.
8377,Great app keep the good work up... But do something about your interest rate. You guys are doing great no doubt. Why i talk about your interest rate is that when you give loan is to help not to add more stress to the person. Nice job
8378,credit line is low but app is so responsive attractive for new user
8379,Helpfull immediately payment less paperwork fast approval
8380,"Honestly, I don't think I've used a better app Apart from the flexibility of their loan plans, their customer service is the best, easy and smooth transactions. I no longer use my bank app and all my transactions are done on Branch If I could rate this app more than 5 stars, I will You guys should keep it up👍"
8381,awesome app thanks to help in emergency
8382,"Beanch app is a user-friendly app which is fun to use, whether you're applying for a loan or using the wallet for transfer of fumds to other bank accounts. App is always up, no downtime. Their Customer Service Support is also top-notch. Keep on improving!!!"
8383,Such a app is very good my payment received by today good ap
8384,very good for credit loan.
8385,it's gives a customer quick loan qualification
8386,I all ur loan timely paid but one payment late but now loan rejected I m very disappointed
8387,"Third class app, even after on time repayment, they've declined next loan. And asked for 30 days waiting. It's okay, i waited for more than 30 days, but after that when i applied again, they again asked for another 30 day waiting!!! What a pathetic service. Only making people fool. Nothing else."
8388,Reliable and efficient service
8389,Good services though your interest charges are very high as compared to other loan lending platforms
8390,Great app and great interface. Its so simple not much documents required and you get your loan within 20minutes you requested. Infact anyone can take a loan with low interest. I loved this app.
8391,Worst bcoz i applied got rejected not increasing limit not suitable for emergency purpose
8392,Wonderful loan app with little interest and great repayment plan
8393,Good app easy to apply and suddenly distribute the amt to account
8394,Branch pls include the pay now button on the app so that i can pay the loan. You guys are makin it difficult for me to pay the loan. I deposited the exact amount in the app long ago but you guys refused to deduct the miney and there is no button to click and pay via the app
8395,Really wonderful branch loan I Love branch it's very good
8396,"This is the best instant loan app ever. No too much protocol, easy to fill and the disbursement done in less than a minute. Repayment platform is made easy. Everything about this app is awesome...."
8397,Magnificient loan app.fast disbursment of cash and very low interest rate.
8398,Branch app is the best investment app since I started using it I have nevered had issues and anytime I had a problem their customer care were always willing to help me. I also loved the app design lol. Branch app is the best 😁
8399,"Branch is the best, best financial platform ever,easy to access,easy to get their information,their Services are quick and money transfer is free. Actually I would like everyone to use this app because it's so amazing.i love it and I will be with them for ever"
8400,"I have used this app for one month and it have helped me to solve many financial problems. I recommend other people in need to download this app, it is easy to use and you receive your money early and have low interest rate."
8401,The best App ever and i appreciate for your good attendance to your customers. Your always patient with all your customers. Branch offers the best loan according to my opinon and that why i keep trying about branch because of its activeness . It is usually faster than all other app that lead loans. I prefer to to be patient too so that you can led me more amount. Branch always give time to its customers and i love. May you be blessed as you continue assisting kenyans with the loans in advance.
8402,"Can be really frustrating at times. Cant recharge from my wallet, have deleted and re downloaded the app sevrlerally same still happening.. most recent redownload, and now my wallet balance is not even showing.."
8403,Am happy to borrow with branch so helpful thank you very much
8404,"Worst experience..Every time i paid before due time., enen paying it on time., they told ur credit score decreas, and stop giving loan.., fact is my credit score increased 5 points..,"
8405,Every laon company is increase amount for paying before due date but this company is descrased. Third class.
8406,I tried this application 3 times but I did not get loan even once. This application is not good at all.
8407,This is amazing my experience this aap is very simple and easy
8408,"Branch has been my saving grace but recently during the lockdown, they really disappointed me, they denied me loan and i really needed it, asides that, they are good, their interest is way bettee than some apps though and their delivery is prompt."
8409,The problem i have with this platform is why will branch calling all my contacts informing them that have not repaid my loan. And also giving warning treat to me and also my contacts. Infact this app is completely not trusted to safe guard any personal information about some one. So after all the embarassment you still expect me to pay???. I don't advice any one to use this platform.
8410,Best App for Loan. Easy step and instant disbursal. Thank you Branch
8411,"This App is great. interest rate and time limit is very small compare to others. No daily interest of late payment. Brach co is not a greedy type, the App is user friendly, their customer care is excellent bcause they reply you on time and appreciate your effort. thanks Brach co...best regards. may God continue to strenghten your company."
8412,Excellent service i recommend everyone to use it but loan amount is less
8413,After paying loan again I can't able to apply I have a good cibil also I am very disappointed 😞
8414,"I did love you so much branch The only thing that happened is that fateful day when.I lost my phone, and those people asked my PIN, we were kidnapped inside a vehicle,the took a loan, nilishindwa kulipa, but thank you for being good"
8415,One of the most organized and customer-friendly loaning app. You only need to work on repayment extension option to help in case one develops a problem and is unable to repay in full at the due date
8416,"Wow! This is absolutely the best loan app, indeed, you guys are better than my bank. I recommend you to everyone in need of urgent money. Please, keep it up😘😘😘😘"
8417,Why are you asking me to apply yet when I do you tell me to wait for 90 days the amount of times you have done that in 2023 alone is countless
8418,fastest and reliable
8419,"I changed my device and i made an attempt to log in to my branch and for more than 48 hours now, i have not been able to access the dashboard. It's requesting for a code for verification which it has not been sent to my phone."
8420,Excellent performance. the application is simple and easy to operate. Loans are recieved within a very short time and there is no harrassment on payments. i like it.
8421,Nice aap good work and good time pleyad
8422,I got approved for a loan But I didn't ask it instantly to transfer it to my account. But they transferred it immediately to my account and now am unable to pay the due. Now it would be a problem for them and me also🥺
8423,"Unreliable. After years of good service and an increase in limit. This is the 3rd time am told to wait 60 days. Yet the amount was approved. The in-app chat is not accessible. For one growing a business or in need of cash, I would not recommend this app."
8424,very easy to use and disbursement was timely
8425,I love this app .....small ammount but easy too disbursal in my account...thank you
8426,Processing fee is very high it may be any operational work also but it is very much high and I am paying the amount regularly at lsst they declined my application and saying that to maintain good Credt hstry with all the lenders I don't have any bad payment history till now total fake app and processing fees and upfront is very high
8427,The app is good but failed to update my credit score with other financial institutions. I've never defaulted for a month yet you fail to increase my loan limit. The 5 star is for your consistency.
8428,Any time I repay my loan even before the due date your app will automatically refuse to borrow me another loan for reasons best known to them. I haven't defaulted before. This is frustrating. Am considering quitting your app. Other apps does better.
8429,I give 4 star and the reason is 1: Branch loan is easy to go along with. 2: Branch does not charge so much interest in return. 3: Branch does not force in loan into you then disturb your peace. 4: Branch duration of time to repayment is comfortable so you have no reason to disappointment when it's right to repay. The one Reason I withhold the 5th star is that Branch offers a very low amount of loan.
8430,"It is very useless, does not give loan even after giving back the money. 0 star"
8431,"Good and fast, helpfull"
8432,"After borrowing, it was sent to my wallet but it never reflected on my wallet. I tried seeking for help but none to come. The annoying part is that the repayment amount is been shown with the money itself showing so I cant even access the money I borrowed. Pls do something about this."
8433,"Can't talk much. As far as I'm conscience Branch is the best compare to every other one I've used before. Their interest rate and time frame is very very encouraging, customer service is first class, better n faster than most banks. A trial will convince you."
8434,"I have been using the loan app since last year without any difficulty, it run smoothly and simple to use.. seriously it one of the best loan app I have ever see! If there's any point higher that 5 star ⭐ I will give. Kudos Branch"
8435,"Apart from the Constant reminders and warnings, all in all its a good app. please minimise on the constant reminders!"
8436,am seeing a notification that money was sent to my account 2018 yet I didn't apply
8437,i thanks to branch app for my emergency loan give for me then compare to another loan app branch given low interest rates guys if you need any emergency loan pls take lone from this app
8438,Excellent program This is an Excellent Program for the needfuls and other self development matters✅✅✅✅✅
8439,"Wonderful app,God bless branch!♥️"
8440,I already paid all my loan amount on time. But the loan show on my cibil record. I also try to contact in branch app by mail and contact. But nobody respond to me. That's why I don't like this app.
8441,My loan is approval but 1 month complete but repayment successful but barch app home screen loan show my payment success branch app not show for success overdue show please clear my loan my payment is successful please branch manager clear my loan please provide customer care number send my email customer care number branch Main branch app se bahut dukhi hun kyunki maine payment kar diya hai aur branch app show nahin kar raha hai overdue bata raha mujhe branch customer care number chahie
8442,"So far so good, with all my experience of online loan platforms, Branch loan app. is the best i have come across. Low interest rate with long tenure. Am confidently urging you to try this because there's nothing to regret. With all alacrity, i decided to give 5 stars."
8443,With out any thoughts you can take the loan.. And make the payments on time.. Thanks Branch team👌
8444,Good app and the interest is not bad but the customer relations is poor. They don't reply to complaints and no contact to reach it's so frustrating. My loan suppose to expire next month but I decided to pay earlier but the loan has not been cleared and I have been debited already. Pls look into this thanks .
8445,"Very good app,but no means of communicating the customer service , meanwhile the app is very good but you guys need to increase my loan rate , I've been consistent in paying my loan on time, I need an increase in the loan amount"
8446,Branch is an amazing loan app. Just pay on time that's all they ask for and your money will be increased. And the new updated version is amazing. With their interest offer on savings. Thanks for making life easy for . Monthly paid workers like us
8447,"If there is anything more than 5 STARS, I WILL GIVE BRANCH. Leave sentiment aside, BRANCH is the most helpful app in my phone. I have never apply for loan and it takes up to 5 minutes. Thank you so much for being here for the needed people. Bravo!!!"
8448,I'm giving you 3star fast disbursement but haven't been able to benefit well from the platform my first loan of 1500 was overdue for like a week and i can't pay back on time because my phone was misplaced.. I would like to get to see the full benefits of this app if am giving another opportunity.
8449,Good service for branch loan application
8450,"This app is the best in africa, every other loan app is a counterfeit,. The only problem i have with them is that, they refuse to offer me loan getting to two years now blc i was late to pay back the last loan they offered me. Am still pleading with them if they can give me another chance"
8451,It's good and very very good branch app
8452,I have to uninstall this application because of the report of poor availability when you want to repay with complaint on internet whereas other applications are accessible through the same internet. Then interest continued to mount up for no fault of yours. Do something to improve this and ameliorate the disbursement.
8453,"This app is wow so wonderful nd amazing but the problem I have with it is that, the time duration is too small at least extra 3 days after a month plus is fair enough.... thanks 😊 please work things out with the time duration things are not always what we planned sometimes we receive late payment sometimes you receive any payment on time so it's not affect us paying you back so please work on the time duration at least a month and 3 days extra is good"
8454,"I have being using branch and no issues until I got a samsung s7 phone, all other apps work perfectly but after installing branch it tells me ""sim not supported"" I have being in touch with several customer care yet still the same. I have re-installed app yet same error. Is this a way to stop me from using branch? I hv being effective though and i don't know what went wrong. The last CC said I should get another phone. Branch what's going on?"
8455,Good app for student lone thank you so much 👍
8456,very easy and simple process very useful
8457,Thanks for increasing my loan limit but unfortunately very poor service loan not credited to my account till now.
8458,"Excellent moneylenders, very professional. No harrassing calls. Certainly one of the top best. Heartie Cheers!!! They were extra patient with even in my hard times, I would recommend them to anyone. They are loyal and stand with you to the very end. Respect and reward their loyalty and payback as soon as you can. Simply the best."
8459,The overall experience is good with the app but it doesn't update the principal amount like I took a loan of Rs. 1500 for the first time but after the repayment of that loan on time my principal amount was reduced to Rs. 1000. I look forward for the team to solve my issue
8460,I.have a good cibil but not getting loan from branch application.but this is an Excellent application number one.application
8461,I still can't believe this flexible and stress free loan app is possible in my time. Branch is simply the best and I have resolved to plug into the investment program. Thanks
8462,very good application for loan
8463,"The only issue i have with you, is getting same amount after paying earlier before the due payment date. I saw 10,000 later it changed back to 5,000; that was why i refused to touch the loan unless it changes, othet app i'm using gave me a better option."
8464,"I think branch is the best because its is stress free and helps in difficult times. The loan they provide is good to people that are honest, just that my friends doesn't participate complaining about branch interest being too high for them. But i think its not at all cause its not easy. Thanks branch for making people happy, God bless branch ,God bless my country Nigeria, #Chrisboard Music."
8465,"unbelievable , i applied for loan today morning. and i got 500 evening. Thank you Branch."
8466,"Nice app, helps when in need"
8467,Excellent app your loan will be approved in 1min
8468,Editing my review. Despite repaying all the emi before due date. My loan application is rejected and I'm being asked to reapply after 6 months. What's the use of the app if it's not useful when needed the most. Not cool at all.
8469,"Good afternoon, if there is anything higher than 5 start I will gladly give it. Branch is very reliable, it is fast and quick to disburse cash. You want a fast loan stick with branch. And the duration is very cool, gives you time unlike others. Keep the good work up."
8470,Nice and help full in emergency
8471,happy to have such a good loan app
8472,"The platform is superb, no unnecessary paper documentation or annoying questions. But the loan limit is low, just to cater for petty expenses."
8473,"The best loan app I have ever seen, minimum loan term of 28 days with lowest interest rate, no origination fee like others. Maintain a good credit and get higher loan offers. Thanks Branch for being there always. Kudos to this great app. My best ever! Thanks for being there always."
8474,"I would have loved to score Branch 100% but the loan amount is still too small and the corresponding interest too high for comfort. In a harsh economy like ours, making enough profit from the small loan to pay interest on one hand and other incidental costs on the other hand is very tasking. One ends up borrowing more money to pay existing loan."
8475,Convenient and trustworthy platform for loan.
8476,simple and fair
8477,My app is not opening y it's blocked or what
8478,"Very slowly process my loan is approved but not Disbrused ,, I'm apply in 11pm next day 12 am,,, but not Disbrused"
8479,very very good loan app which I recommend it to everyone who is in need of urgent money
8480,I liked the service bcz i was on a situation where i have to use money and i had no otherwise.
8481,Wonderful application when i'm in problem on that time branch helps to me thanks branch application 🫶🏻
8482,Okay so this app has a limit to your loan application. As soon as I repaid the app stucks. The customer care service won't respond. Don't pay extra amount they will steal it too I removed the five stars and wouldn't advise you to use it at all.
8483,Already paying payment complete but again and again call
8484,It's a amazing experience till now with the branch and i hope it continues like this ☺️
8485,"You guys are awesomeeeeee. But if you have a customer that has borrowed multiple times and paid back, a loan payment extension can be given. Just a thought though. But above all. I love this app"
8486,Amazing loan app... No stress
8487,"Without deceit and without hesitation, i give branch 5 stars because it's the best loan app ever with good customer relation and excellent loan offer with bearable intrest. Thanks to branch for the loan given to me since june when i had accident which i pay back today 30th of December with no penalty fees. Long live branch. I'm heartily grateful. God bless you all."
8488,Easy to use application & good services
8489,"It is one of the good beautiful helpful app. And very low interest. And very good, responsible executive are working there. I am not only telling. This is my personnel experience. Please take loan from this app. And solu your problem. Return the loan promptly, thanks Branch-Per-Fi"
8490,Amazing happy satisfied branch i need money relationship with u thanku so much to disbursed amount.
8491,wonder full amazing. Best loan service
8492,Branch App Is One Of The Best App for Personal Loan . I Love Branch App Thank You 😊
8493,"Iam really disappointed with this app.They text me to say that my new loan will be approved, only for the app to reject my application. This has been their trend for more than eight months .lam now considering to delete this app since it is no longer useful to me."
8494,"Branch has always been my best loan app, but recently I wonder what went wrong? I have never defaulted but for the past 10months I have not been eligible and reasons best known to them. I wish they could look into my matter and rectify it. Thanks"
8495,I like it ..because I don't have any problem when applying loan
8496,I'm really un happy with this app. Because I pay due amount regularly before due date. But you people rejected my loan application without any reason. I'm just shocked. That time I'm really in so much money need. I pay the due amount and you people not given me loan. Really I'm fully disappointed😔😔😔😔
8497,"I just repayed my loan right now and applied for another, it was disbursed to my wallet and the app stopped working, i uninstalled it and installed it again but my wallet balance is not showing.... please i won't repay this loan if i don't use it periodt!!!!!!......this app is just so frustrating.....i need a customer care i can contact Right now"
8498,Good experience very easy to get a loan without cibil
8499,Very good branch personal loan app but lettle bit increase? This is not good plzzzzzz increase Big money
8500,"Wow, this is the best savings platform have ever used with great flexibility of savings and earnings. Especially my weekly cash out. I can't imagine saving an amount yet paid salary over my savings, this is awesome. Branch international you all are mindblowers"
8501,"There is some technical issues in the app.when I want to repay the loan amount there is no option showing to proceed the payment.It always shows ""WORKING"" after that it returns me to home page.I tried too many times."
8502,as a loan app the app is very good... But one thing that most of the loan app fail to give is a good customer executive behavior.. My loan was only 1 week overdue but my loan tenure was 2 months i still had one month to pay back the loan.. Then one day a customer executive called me and harassed me very bad.. I just wanted 1 more week to pay the loan back... I did pay the loan back on the next week... But behavior is very bad by branch customer executive. Please train your employees.
8503,The loan has been closed from my end still showing outstanding from my cibil score.still not recieved NOC and cant able to open app worst experience. Please dont take loan on this app........I have mailed two times also still not yet recived NOC
8504,"Truth is I was skeptical about Branch Loan app because of the terrible things other loan apps are doing to their clients. But this app is different, reliable and consistent. Weldone team behind this platform. Keep it up and keep keeping clean slate."
8505,"it is fast and precise. the only issue I have now is that I cannot access my fund in my wallet; of which I have sent a message to the help centre...beside this, the App is 100% okay and I recommend to anyone interested."
8506,Interest amount high and repay loan after limit increase only 2 thousand increase
8507,good Application But Limits Not Increase.
8508,"The disbursement is fast and app works well but interest rate is extremely too high and it's almost like taking advantage of people desperation to get quick loan, for this I give them one star which is exactly what they truly deserve. Thank you"
8509,"very dissapointing me only 500rupees loan sanctioned to me,shame on branch loan."
8510,"Branch is just the best. It's like my plan B and a stop gap to financial mess. What do I mean, if u are about to be embarrassed financially, just run to branch and within a snap of d finger, they've answered u. As long as u are dedicated in prompt payments, your loan will definitely increase on your next application. I love this app."
8511,"I know we live in suburban area and our pin code always rejected. But, you've to mention it at first. Don't know such fake apps like Branch cancel the loan applications after gating all informations, all datas. What a joke! Horrible! Don't missuse my datas. Thanks."
8512,too much gsst I've approved loan for 1500 but only they send me 1347
8513,"Best experience, quick response,quick deposit"
8514,Very low interest and amount will be safe and secure ❤️❤️
8515,"superb aaps whenever we need urgent fund its helpful aap , i always use this aap ,"
8516,Hi work Branch personal loan allow Any one the best loan this app
8517,Nic app.loan processsing very fast
8518,"Excellent lender, simple process, moderate interest rate. Well recommended to anyone for quick cash emergencies. Try to pay back promptly to build a good credit score and promote honesty."
8519,I have paid loan but it's showing not eligible for loan
8520,"I am a returning customer and I have used this App seamlessly in previous times. However my last transaction has been horrific. I have paid my due loan and Branch even removed over forty thousand naira from my account. I have sent several mails, you have requested for my statement of account which I have provided but you keep keep sending me messages that am still owing you and my last email was not replied. Am using this medium to appeal that you do due diligence and internal reconciliation"
8521,It's a very good app to lend from but very limited Banks and when you have repayment errors they leave you on your own and when you call to complain they will promise to get back to you only that no body contacts you at the end. that is not satisfactory.
8522,This app is exceptionally good but I had an issue with transferring from my wallet. It kept saying my transfer is pending for over to hours and the money never came to my account nor returned to my wallet. Branch I need answers
8523,"Please, ive been trying to access the app, but all efforts seem to go in vain. each time i try to access the app, the response would be ""connect your phone to the internet to access the app"" while my phone is already at that time already connected. Please whag do i do?"
8524,Its outstanding im very happy with Branch only 4 hr I Got my Loan Amount in my bank account . Thanks to Branch 👍
8525,"Nice lending app , everyone can take loans and pay timely..."
8526,"I thought this app was excellent on my first loan with them which I made my repayment before the dued date in order to keep a good credit score but never knew they can be so disappointing & fraustrating like this until today, together with their customer care services."
8527,I paid all my loans in time but they decreases my limit I don't know what was happening in my loan account
8528,"BRANCH is the best loan app ever! Their customer service is amazing! Good return on investment and flexible mode of payment. Just name it, they have it all."
8529,"Management should please carry out review on this app, i have never experience the type of stress i did of recent to apply and transfer my loan from Branch to my bank. Its not fun. It has be so easy previously but I don't understand what is happening now."
8530,too good app but credit limt is so low
8531,I just updated the app and it doesn't want me to add funds what a useless app.
8532,This is the best loan app ever.what makes it more interesting is the bonuses on payments made through the app and free transaction costs.Though i give it 4stars because it takes long for a loan to be processed and approved.
8533,I have took a loan of 500 and repaid the amount before the deadline but after that when I applied for another 500 it's not yet distributed to my account it's taking so much time than first I had an urgent that's why I applied. Please look into it 🙏
8534,Very very excellent app fast service super app very very fast service mere liye lucky app hai humko kabhi bhi problems nahi Hui very much for nice app super excellent app service very fast very nice app super app good excilent very nice app
8535,nice aap but low amount disbursement
8536,I have been trying to MAKE my payment since last week Monday all to no avail. The application has always prompted; The server could not be reached. And Branch keep sending me message of delay repayment. please just tell me how I can make my payment. Repaying has always been difficult on the App.
8537,It's such a good loan app..recommendable
8538,"Branch is good, fast and reliable. Is the best loan app. Although am not satisfied with the fact that i had to stay almost a month before i was allowed to obtain my first loan and this has made it difficult for me to refer friends who had urgent need for money. Aside that Branch is awsome."
8539,"I love branch app because they are so trustwothy and nice, the loan interest is so convenient and quick disbursal, customer care so friendly and responsive infact you people deserve more than 10 stars if there is, please keep up with the good work and i will be very much happy if you people can a little bit increase loan amount over time and your investment interest, thank you as you people will do so."
8540,really thank you soooooo much I was in medical problem you helped me out thank you so much
8541,Awsome experience Very Helpfull App Ever I m so Thank full To Branch Application thank you so much
8542,This is a welcome development to assist people who are in dire need of financial assistant.  I have experience Branch and it is okay.  The only thing l will recommend is to make repayment possible for those of us who are not using  their recommended b anks.  Thks  It is hundred percent okay
8543,Very good app..its give what you have requested....i lov it
8544,"This is absolutely what they said it was. I thought the review was a Bobo till I tried. Lovely interface, no distractions, straight to the point! This is super exciting and lovely!"
8545,"Best app ever, i have been using it for year and more, low interest and you give an optional to choose peyment perid. and last, i love your customer servises team, faster for responding and so polite. keep it up.."
8546,"Hello! Pls you should be able to provide a phone no to contact your app, I have issue with your app since on the 12 of Aug, I sent money from my wallet to another bank but the ACC did not receive the money.. pls help me look into the issue with immediate effect"
8547,"this is actually one of the best app I've used on loan, the set-up was seamless and just as promised disbursement was made in minutes thumbs up👍 and the repayment? Top notch, you are at liberty to choose the repayment method that suits you. Greatest app 👌"
8548,The app is awesome. quick approvals and higher loans compared to start with compared to other apps. pretty easy to use and understand.
