,content
103,They have problems in money transaction. Someone will transfer money to your branch Account but it will not be credited. Their customer care is very slow to respond and solve people needs. They are fun of having network challenges when credited. They mess up with peoples funds
104,Its very trustable application for personal loan only 1 problem i have faced that is the processing fee is a little but high there but overall it is very usefull
105,Branch application is very good. Very quick response and for emergency small amount you can try here in dis application...it's easy process. I took 3times in branch loan all 3emi before date i make payment...now 4th time when I try to apply...it's showing try after 30days.
106,BRANCH is the best loan application among all the instant loan applications but one disappointment for me is when branch did not increase my credit limit even after full repayment. I am slightly disappointed over this otherwise Branch is the best loan application so far. Anyways Branch deserves 5 star.
107,Dear team last 1 week I am trying to connect with you but I am no 1 reply. I am not able to pay my emi amount and not getting any response on your side. Kindly request help me. Because when I am trying to open your app it's showing lock due to wrong password. And after that going for support option
108,I have paid my loan before due date and applied for new onr but still my loan gets not credited in my account...it was a good history that any of my loan get not paid ...it was paid timely then also this get happened to me...so very very disappointed....no contact number no mail support available in application...so how to connect customer service....
109,"They're the best Loan App I've ever seen; reliable and trustworthy Loan App ever. If anyone is having issue with their app, then quickly send a mail to them and they'll respond immediately to address the issue."
110,Horrid customer service! These guys refused to assist me in updating my full legal name on the app. I've heard pointless back and forths with their customer service. One of my worst experience with branch. I can't even deactivate my account. I will pursue a legal means at this point
111,"Good app,,, but I can't request for another loan immediately I've finished paying for the one I took,,,, I had an emergency,,, that was something that should be included in the information before I even take a loan,,, very disappointing to be honest,, smh,,"
112,I borrowed 3400 but I was not able to repay it on time but through customer care I requested for more ten days but instead they added me 3days on top which is thirteen days. The problem when I applied for second loan they denied me 1)application of loan is insant 2)customer care guyz are friendly 3)no phone calls of reminding you that you borrowed 4)instant problem solving when having issue
113,"Branch is a wonderful micro finance app, transparent and honest, I know I delayed repayment recently but of all the apps I have ever used, none can be compared to Branch. No abuses or disturbing calls and intimidation. I will always be grateful and I will work on my part to avoid delay in repayment. Kudos"
114,Really very disappointed by this app paid everytime earlier or on time they showed me the limit of 12.5k after that they blocked me without giving it by saying try again after 180 days i trusted this so much that i can use anytime now am running low i paid the amount before the time or on time never skipped the payment but what they gave me is the disappointment
115,Very good app. Their process are so quick and instant approval.Only concern is thier interest rate.quite high. If they reduce then it will be so useful for all. Rest of other things the service is very great
116,Very horrible experience. Applied for a loan at 4pm and never got the money for more than 4hrs even after reaching out to the customer care. This app is the worst of them all. Still didn't get it till this very minute.
117,Great app. It helped me in time of need and I am very very thankful for that. Due to some personal issues it took me a long time tu return the money. Without any issues I repaid my debt. And now I am very happy . Thankyou branch to help me in time of need and sorry for being late to repay my debt. And again thankyou thankyou thankyou very much☺️☺️
118,"Good service but is terrible at customer management. I have never defaulted on any loan and yet they keep sending me messages threatening me of ""dire consequences"" despite due date being far away. After my current loan, will never use this app and recommend the same for others. Shameless. Update - harassment continues with non sense messages being sent. Customer care is not helpful. Team's reply to this message is not in good faith and a lie. Would advice all to stay away from this bad company"
119,"Hallo sir My scheduled repayment date is 7-1-2024 i try to multiple time to pay my emi on 7-1-24 but the app not working properly, the payment gateway/ upi option not running properly. Please fix the problem otherwise give me any other options to pay emi, thank you sir"
120,"This is the best loan app have ever come across with. The disbursement is fast and the interest rate is low. The repayment duration is long, if there was ten stars I would have given to them. I recommend it everybody that are looking for where to loan that Branch App is the best."
121,I always loan repayment before time by me but end is that they suddenly rejected my loan without any reason. They increase your loan limit two or three time but when you required loan and you paid your 6 emi before time they stop and rejected your loan application. Branch application are here only for earn 29 percent interest monthly that's it. I request to this application please don't do this with needy persons.
122,"My best online app, reliable, easy and with low interest rate and also long term payment plan, I love branch international financial service."
123,"To be honest, your services are very good. You provide money at the right time and at a low-interest rate that matches the lender's economic level. I submitted my loan application to you today, it only took ten minutes, and the money entered into my account. ~Long live Branch Loan Institution, ~Long for serving us! ~Thanks. ~gosb."
124,Discount offers on loan repayments are true and genuine I was given a 60%discount and it was applied on my facility. At first I thought it was a joke but it reflected on the app. Keep the good work going
125,"So far the best in serice delivery. Excellent Customer Service and prompt loan disbursement, but kindly do something about early loan payment discount."
126,I am giving 1 star because I have paid full amount in month of december and closed it with full amount but stil it is showing active in cibil as overdue and effecting to my cibil 62 points got down with out my mistake I suggest not to got with this BRANCH App team BRANCH please help me with cibil mask off.
127,"A nice and simple step, they don't disturb people with calls like other loan apps even when your date is due and you haven't paid back, and they don't also start adding bills that exact day your loan is due, so they are the best i have ever wished for"
128,"Branch is a very wonderful app. It is convinient whenever you need quick money. Interests are also low. Branch is just wow, pay on time and your limits get raised. It's the best app"
129,I have given 5 star to this but now I have deleted my review and changed to this because. I always pay my dues before time and when I need I take another loan but this time instead of increasing my loan amount this aap had rejected my application and set me to wait 180 days to reaply again. This was the worst experience with branch they rejected my loan even after good and on time payment history when I was in need.
130,"The best app ever, I recommend everyone to use it. They are the best. The customer services are very kind and helpful. The loan is on time and the interest is low.. I'm very happy with you guys. Keep it up with the good job"
131,Loan application is very easy and fast. My loan was disbursed in less than 2 hours and i was given options choose the best time to pay. It's a very commendable app
132,"Since 2018 I have been using this mobile loan app and I can tell the world for free that it's the most reliable mobile loan app any one can have as long you pay their money on time,am impressed,thank you for your best services"
133,"Your app is good and smooth to use, I have collected my first loan and i repaid back, you increase my loan from 6k to 9k, after all I have to apply for another loan of that amount of 9k and it was successful, after i repay it back, for you to increase my loan you just decrease it 6k which i need a higher amount of loan, it is not good, i was disappointed."
134,"Happy New Year to all branch users, branch international is the best loan app ever. If it is not branch international, it can never be branch international. BRANCH!!!!, THE INCOMPARABLE LOAN APP"
135,Unbelievable loan app compare to other loan app with low interest. Without wasting of time. Within five minutes they already successful disbursed into your account. I wish this star ⭐ is more than five they deserve more
136,This is a terrible way to start the new year. Requested for a loan and 2 hours later still haven't received the money. What's the use of using the loan app if you waste so much time in disbursing.
137,cant get customer support.....i have forgotten my password and now i am not able to reset it due to non-availability of the customer support...i have texted many times and also attached screenshot which shows please contact customer care to reset your pin...i contacted through text but no reply has been given by the customer care team .
